Rnk.,Gokart,Kierowca,Okrążenia,Różnica,Najlepsze okrążenie,Kara,Finał
1,4,POTULLL,18,0.000,21.866,0,A
2,17,ZĄBEK_B,18,6.623,22.568,0,A
3,7,OSKI96,18,5.180,20.647,0,A
4,6,HUBERT CH,18,9.306,21.502,0,A
5,16,JORDAN K,18,8.521,21.438,0,A
6,23,M_C,18,10.145,22.002,0,A
7,12,MICHAŁ W.,18,13.912,25.694,0,A
8,3,MACIEJ K.,18,8.257,23.769,0,A
9,21,KRZYSZTOF B.,18,8.221,22.379,0,A
10,1,KAMIL K.,18,11.317,21.660,0,A
11,22,W PIOTR,18,12.721,23.126,0,A
12,11,RAFAŁ M.,18,15.205,22.335,0,A
13,19,MEJX,18,14.719,24.238,0,A
14,20,CZARNY MIKI,18,17.239,22.345,0,A
