Rnk.,Gokart,Kierowca,Okrążenia,Różnica,Najlepsze okrążenie,Kara,Finał
1,7,HUBERT CH,15,0.000,21.923,0,A
2,12,KORNEL P.,15,0.744,24.381,0,A
3,2,MICHAŁ W.,15,2.245,22.177,0,A
4,10,ZĄBEK_B,15,4.138,22.061,0,A
5,22,OSKI96,15,5.962,22.985,0,A
6,20,M_C,15,6.405,24.727,0,A
7,25,JORDAN K,15,6.96,21.9430,0A
8,9,KRZYSZTOF B.,15,,22.425,0,B
9,17,GRZEGORZ T.,15,0.324,22.488,0,B
10,6,W PIOTR,15,1.185,22.741,0,B
11,15,MIKOŁAJ T.,15,2.839,22.455,0,B
12,21,MICHAŁ G.,15,15.231,25.193,0,B
13,23,KOWAL123,15,16.125,22.205,0,B
14,8,RAFAŁ M.,15,21.081,23.801,0,B
15,7,MICHA? B.,15,0.000,22.710,0,C
16,12,TOMASZ K.,15,0.344,22.535,0,C
17,22,JACOB88,15,0.673,22.833,0,C
18,20,SEBASTIAN R,15,1.205,22.898,0,C
19,10,KRZYSIEK P,15,8.450,23.540,0,C
20,25,PAWELZABOR,15,12.156,24.579,0,C
21,2,MAALGOSIA,15,31.323,27.001,0,C
